"REF_DATE","GEO","DGUID","Type of expenditures","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1961/1962","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","60086","","","","0"
"1962/1963","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","67996","","","","0"
"1963/1964","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","74376","","","","0"
"1964/1965","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","80456","","","","0"
"1965/1966","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","85472","","","","0"
"1966/1967","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","91631","","","","0"
"1967/1968","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","89779","","","","0"
"1968/1969","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","91974","","","","0"
"1969/1970","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","124314","","","","0"
"1970/1971","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","141484","","","","0"
"1971/1972","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","148782","","","","0"
"1972/1973","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","172655","","","","0"
"1973/1974","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","200086","","","","0"
"1974/1975","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","248706","","","","0"
"1975/1976","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","287939","","","","0"
"1976/1977","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","334703","","","","0"
"1977/1978","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","369105","","","","0"
"1978/1979","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","404224","","","","0"
"1979/1980","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","452466","","","","0"
"1980/1981","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","526721","","","","0"
"1981/1982","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","603327","","","","0"
"1982/1983","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","669944","","","","0"
"1983/1984","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","754635","","","","0"
"1984/1985","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","806635","","","","0"
"1985/1986","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","895978","","","","0"
"1986/1987","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","922369","","","","0"
"1987/1988","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","979041","","","","0"
"1988/1989","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","1177697","","","","0"
"1989/1990","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","1255742","","","","0"
"1990/1991","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","1342531","","","","0"
"1991/1992","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","1439914","","","","0"
"1992/1993","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","1525029","","","","0"
"1993/1994","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","1616354","","","","0"
"1994/1995","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","1724193","","","","0"
"1995/1996","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","1796166","","","","0"
"1996/1997","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","1883974","","","","0"
"1997/1998","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","1983897","","","","0"
"1998/1999","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","2107238","","","","0"
"1999/2000","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","2247119","","","","0"
"2000/2001","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","2399466","","","","0"
"2001/2002","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","2575644","","","","0"
"2002/2003","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","2747501","","","","0"
"2003/2004","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","2868337","","","","0"
"2004/2005","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","3008898","","","","0"
"2005/2006","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","3150058","","","","0"
"2006/2007","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","3316471","","","","0"
"2007/2008","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","3483497","","","","0"
"2008/2009","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","3638112","","","","0"
"2009/2010","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","3794536","","","","0"
"2010/2011","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","3917861","","","","0"
"2011/2012","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","4002314","","","","0"
"2012/2013","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","3500440","","","","0"
"2013/2014","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","3575873","","","","0"
"2014/2015","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","3697461","","","","0"
"2015/2016","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","3749251","","","","0"
"2016/2017","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","3830199","","","","0"
"2017/2018","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","4005318","","","","0"
"2018/2019","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","4112794","","","","0"
"2019/2020","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","4186451","","","","0"
"2020/2021","Canada","2016A000011124","Private elementary and secondary school expenditures","Dollars","81","units","0","v1200378","1.21","4064533","","","","0"


